X(m),Y(m),GravityAnomaly(mGal)
0.000000000000000000e+00,0.000000000000000000e+00,-1.845246075809976738e-02
0.000000000000000000e+00,1.724137931034482847e+02,1.440061758166463410e-02
0.000000000000000000e+00,3.448275862068965694e+02,1.409574120355797100e-02
0.000000000000000000e+00,5.172413793103448825e+02,-3.032833004699820451e-02
0.000000000000000000e+00,6.896551724137931387e+02,-2.526193251241501056e-02
0.000000000000000000e+00,8.620689655172413950e+02,-6.740613539401005272e-02
0.000000000000000000e+00,1.034482758620689765e+03,-6.005897779564482036e-02
0.000000000000000000e+00,1.206896551724137908e+03,-3.056902072962022765e-02
0.000000000000000000e+00,1.379310344827586277e+03,-6.814508389279408385e-02
0.000000000000000000e+00,1.551724137931034647e+03,-1.088288352537270243e-01
0.000000000000000000e+00,1.724137931034482790e+03,-5.089779520822314274e-02
0.000000000000000000e+00,1.896551724137931160e+03,-1.861335956336703790e-01
0.000000000000000000e+00,2.068965517241379530e+03,-1.209389361740961788e-01
0.000000000000000000e+00,2.241379310344827900e+03,-2.757812930894750769e-01
0.000000000000000000e+00,2.413793103448275815e+03,-4.366009985932198245e-01
0.000000000000000000e+00,2.586206896551724185e+03,-4.222582304259640540e-01
0.000000000000000000e+00,2.758620689655172555e+03,-2.793474411237252819e-01
0.000000000000000000e+00,2.931034482758620925e+03,-1.805179465857270071e-01
0.000000000000000000e+00,3.103448275862069295e+03,-1.067642347638556588e-01
0.000000000000000000e+00,3.275862068965517210e+03,-9.029234032111524422e-02
0.000000000000000000e+00,3.448275862068965580e+03,-4.370608192931443176e-02
0.000000000000000000e+00,3.620689655172413950e+03,-1.903675291901118366e-02
0.000000000000000000e+00,3.793103448275862320e+03,-2.439002204980290911e-02
0.000000000000000000e+00,3.965517241379310690e+03,-1.225066209442685350e-01
0.000000000000000000e+00,4.137931034482759060e+03,-1.039692169286985102e-01
0.000000000000000000e+00,4.310344827586207430e+03,-1.803947214200971733e-02
0.000000000000000000e+00,4.482758620689655800e+03,-1.769836459529345457e-02
0.000000000000000000e+00,4.655172413793103260e+03,-5.836140431917082039e-02
0.000000000000000000e+00,4.827586206896551630e+03,-8.325452713482052458e-02
0.000000000000000000e+00,5.000000000000000000e+03,-5.430289191193837794e-02
1.724137931034482847e+02,0.000000000000000000e+00,8.072914350878940964e-03
1.724137931034482847e+02,1.724137931034482847e+02,-5.420325361486056509e-02
1.724137931034482847e+02,3.448275862068965694e+02,2.827146856153164856e-03
1.724137931034482847e+02,5.172413793103448825e+02,-7.543727599770250203e-02
1.724137931034482847e+02,6.896551724137931387e+02,-6.176603737232035096e-02
1.724137931034482847e+02,8.620689655172413950e+02,-5.877095108127079054e-02
1.724137931034482847e+02,1.034482758620689765e+03,-8.724583350618742017e-02
1.724137931034482847e+02,1.206896551724137908e+03,-1.450449754903475330e-01
1.724137931034482847e+02,1.379310344827586277e+03,-1.525807004606315465e-01
1.724137931034482847e+02,1.551724137931034647e+03,-1.722406006079809093e-01
1.724137931034482847e+02,1.724137931034482790e+03,-4.944485099669024830e-01
1.724137931034482847e+02,1.896551724137931160e+03,-8.565983605495399722e-01
1.724137931034482847e+02,2.068965517241379530e+03,-1.362380540226793668e+00
1.724137931034482847e+02,2.241379310344827900e+03,-1.650046744624650730e+00
1.724137931034482847e+02,2.413793103448275815e+03,-1.763158439859086712e+00
1.724137931034482847e+02,2.586206896551724185e+03,-1.822174892998662088e+00
1.724137931034482847e+02,2.758620689655172555e+03,-1.578331450439522277e+00
1.724137931034482847e+02,2.931034482758620925e+03,-1.354692293425878269e+00
1.724137931034482847e+02,3.103448275862069295e+03,-8.886904219170833619e-01
1.724137931034482847e+02,3.275862068965517210e+03,-5.173647033070892798e-01
1.724137931034482847e+02,3.448275862068965580e+03,-1.431296105816405040e-01
1.724137931034482847e+02,3.620689655172413950e+03,-1.722233755757958118e-01
1.724137931034482847e+02,3.793103448275862320e+03,-7.356092100308092574e-02
1.724137931034482847e+02,3.965517241379310690e+03,-7.230320969325657043e-02
1.724137931034482847e+02,4.137931034482759060e+03,-6.862274544560000022e-02
1.724137931034482847e+02,4.310344827586207430e+03,-2.843319791704317090e-03
1.724137931034482847e+02,4.482758620689655800e+03,-5.742231127233203558e-02
1.724137931034482847e+02,4.655172413793103260e+03,-3.076906426823673019e-02
1.724137931034482847e+02,4.827586206896551630e+03,-2.479095615333139213e-03
1.724137931034482847e+02,5.000000000000000000e+03,-3.501037587125929024e-02
3.448275862068965694e+02,0.000000000000000000e+00,-2.556733821662408868e-02
3.448275862068965694e+02,1.724137931034482847e+02,-4.843454041832326307e-03
3.448275862068965694e+02,3.448275862068965694e+02,-5.794626502100142657e-02
3.448275862068965694e+02,5.172413793103448825e+02,-7.338111674426818498e-02
3.448275862068965694e+02,6.896551724137931387e+02,1.973203066670264905e-02
3.448275862068965694e+02,8.620689655172413950e+02,-1.035452291134797836e-01
3.448275862068965694e+02,1.034482758620689765e+03,-1.124976543596443446e-01
3.448275862068965694e+02,1.206896551724137908e+03,-4.133429388611997712e-01
3.448275862068965694e+02,1.379310344827586277e+03,-7.274069362539400396e-01
3.448275862068965694e+02,1.551724137931034647e+03,-1.655093478443339317e+00
3.448275862068965694e+02,1.724137931034482790e+03,-2.221977091361176715e+00
3.448275862068965694e+02,1.896551724137931160e+03,-2.630171921749000497e+00
3.448275862068965694e+02,2.068965517241379530e+03,-2.910934081941432883e+00
3.448275862068965694e+02,2.241379310344827900e+03,-3.191938919602471003e+00
3.448275862068965694e+02,2.413793103448275815e+03,-3.261904146070253141e+00
3.448275862068965694e+02,2.586206896551724185e+03,-3.240893247472242500e+00
3.448275862068965694e+02,2.758620689655172555e+03,-3.283525114107766818e+00
3.448275862068965694e+02,2.931034482758620925e+03,-2.901699634727304744e+00
3.448275862068965694e+02,3.103448275862069295e+03,-2.687860133085158587e+00
3.448275862068965694e+02,3.275862068965517210e+03,-2.273530758913226535e+00
3.448275862068965694e+02,3.448275862068965580e+03,-1.678727023382528216e+00
3.448275862068965694e+02,3.620689655172413950e+03,-8.134870335664475816e-01
3.448275862068965694e+02,3.793103448275862320e+03,-3.870844307384219696e-01
3.448275862068965694e+02,3.965517241379310690e+03,-9.825561337769918302e-02
3.448275862068965694e+02,4.137931034482759060e+03,-6.479988841557642043e-02
3.448275862068965694e+02,4.310344827586207430e+03,-3.804663727043047783e-02
3.448275862068965694e+02,4.482758620689655800e+03,-4.570317969568774008e-02
3.448275862068965694e+02,4.655172413793103260e+03,-4.948004398408478721e-02
3.448275862068965694e+02,4.827586206896551630e+03,-8.022877768176508995e-02
3.448275862068965694e+02,5.000000000000000000e+03,-1.847000865714908124e-02
5.172413793103448825e+02,0.000000000000000000e+00,-6.157031503343941142e-02
5.172413793103448825e+02,1.724137931034482847e+02,-8.135145774623980808e-02
5.172413793103448825e+02,3.448275862068965694e+02,-4.946189066516012978e-02
5.172413793103448825e+02,5.172413793103448825e+02,-4.826205899678222278e-02
5.172413793103448825e+02,6.896551724137931387e+02,-9.988510140917941649e-02
5.172413793103448825e+02,8.620689655172413950e+02,-1.596695583790033179e-01
5.172413793103448825e+02,1.034482758620689765e+03,-8.505057812885119528e-01
5.172413793103448825e+02,1.206896551724137908e+03,-1.647080929973594454e+00
5.172413793103448825e+02,1.379310344827586277e+03,-2.328009453541057372e+00
5.172413793103448825e+02,1.551724137931034647e+03,-2.872985913660365487e+00
5.172413793103448825e+02,1.724137931034482790e+03,-3.482416951428634722e+00
5.172413793103448825e+02,1.896551724137931160e+03,-3.822319041528156713e+00
5.172413793103448825e+02,2.068965517241379530e+03,-4.157297131118185440e+00
5.172413793103448825e+02,2.241379310344827900e+03,-4.320712154227863699e+00
5.172413793103448825e+02,2.413793103448275815e+03,-4.412184798717898815e+00
5.172413793103448825e+02,2.586206896551724185e+03,-4.374630103498710731e+00
5.172413793103448825e+02,2.758620689655172555e+03,-4.317628990960400870e+00
5.172413793103448825e+02,2.931034482758620925e+03,-4.121642151435898072e+00
5.172413793103448825e+02,3.103448275862069295e+03,-3.778732216911778519e+00
5.172413793103448825e+02,3.275862068965517210e+03,-3.455417307504555335e+00
5.172413793103448825e+02,3.448275862068965580e+03,-2.958991675851765368e+00
5.172413793103448825e+02,3.620689655172413950e+03,-2.302763228876134161e+00
5.172413793103448825e+02,3.793103448275862320e+03,-1.583369432855734837e+00
5.172413793103448825e+02,3.965517241379310690e+03,-8.511174713598679276e-01
5.172413793103448825e+02,4.137931034482759060e+03,-9.807540005017398310e-02
5.172413793103448825e+02,4.310344827586207430e+03,-1.354710317117281959e-01
5.172413793103448825e+02,4.482758620689655800e+03,-1.283379584603293322e-01
5.172413793103448825e+02,4.655172413793103260e+03,-4.541966471939085093e-02
5.172413793103448825e+02,4.827586206896551630e+03,-3.399474480116868036e-02
5.172413793103448825e+02,5.000000000000000000e+03,2.222634471298041287e-02
6.896551724137931387e+02,0.000000000000000000e+00,-3.668773691156148459e-02
6.896551724137931387e+02,1.724137931034482847e+02,-5.272212232639052892e-02
6.896551724137931387e+02,3.448275862068965694e+02,-7.616088170190163376e-02
6.896551724137931387e+02,5.172413793103448825e+02,-1.328077440253514208e-01
6.896551724137931387e+02,6.896551724137931387e+02,-1.653995362954160386e-01
6.896551724137931387e+02,8.620689655172413950e+02,-5.782978549043203964e-01
6.896551724137931387e+02,1.034482758620689765e+03,-1.920491135852776976e+00
6.896551724137931387e+02,1.206896551724137908e+03,-2.679054792868706958e+00
6.896551724137931387e+02,1.379310344827586277e+03,-3.454548203129905293e+00
6.896551724137931387e+02,1.551724137931034647e+03,-4.062887387151199015e+00
6.896551724137931387e+02,1.724137931034482790e+03,-4.539981730079079014e+00
6.896551724137931387e+02,1.896551724137931160e+03,-4.859527106682620001e+00
6.896551724137931387e+02,2.068965517241379530e+03,-5.127051659302486186e+00
6.896551724137931387e+02,2.241379310344827900e+03,-5.271316207800578191e+00
6.896551724137931387e+02,2.413793103448275815e+03,-5.378232215887312151e+00
