X(m),Y(m),GravityAnomaly(mGal)
0.000000000000000000e+00,0.000000000000000000e+00,-5.522065209258457397e-02
0.000000000000000000e+00,3.571428571428571672e+02,-8.147765062039638573e-02
0.000000000000000000e+00,7.142857142857143344e+02,-1.106130818438860047e-02
0.000000000000000000e+00,1.071428571428571558e+03,-4.592141886130982759e-02
0.000000000000000000e+00,1.428571428571428669e+03,-5.625616383294576583e-02
0.000000000000000000e+00,1.785714285714285779e+03,-1.495873760305940214e-01
0.000000000000000000e+00,2.142857142857143117e+03,-2.641554693173766011e-01
0.000000000000000000e+00,2.500000000000000000e+03,-3.899861489912072599e-01
0.000000000000000000e+00,2.857142857142857338e+03,-2.085879682650935429e-01
0.000000000000000000e+00,3.214285714285714675e+03,-6.315205770358695014e-02
0.000000000000000000e+00,3.571428571428571558e+03,-6.071632524701071898e-02
0.000000000000000000e+00,3.928571428571428896e+03,-1.032071784685995308e-01
0.000000000000000000e+00,4.285714285714286234e+03,-4.613150820937254176e-02
0.000000000000000000e+00,4.642857142857143117e+03,-3.551989468799326977e-02
0.000000000000000000e+00,5.000000000000000000e+03,-4.634031148469260758e-02
3.571428571428571672e+02,0.000000000000000000e+00,-5.106283559072018891e-02
3.571428571428571672e+02,3.571428571428571672e+02,-9.354286390537960849e-02
3.571428571428571672e+02,7.142857142857143344e+02,-6.946658332093283428e-02
3.571428571428571672e+02,1.071428571428571558e+03,-1.039808420428808833e-01
3.571428571428571672e+02,1.428571428571428669e+03,-1.234691402008866179e+00
3.571428571428571672e+02,1.785714285714285779e+03,-2.504553388516096657e+00
3.571428571428571672e+02,2.142857142857143117e+03,-3.147072884760373057e+00
3.571428571428571672e+02,2.500000000000000000e+03,-3.300020259397264955e+00
3.571428571428571672e+02,2.857142857142857338e+03,-3.139951805650727401e+00
3.571428571428571672e+02,3.214285714285714675e+03,-2.468240034870558652e+00
3.571428571428571672e+02,3.571428571428571558e+03,-1.247104175064853271e+00
3.571428571428571672e+02,3.928571428571428896e+03,-1.588924582437906685e-01
3.571428571428571672e+02,4.285714285714286234e+03,-1.024554924355778329e-01
3.571428571428571672e+02,4.642857142857143117e+03,-2.174769790080426785e-02
3.571428571428571672e+02,5.000000000000000000e+03,-5.816022605284525138e-02
7.142857142857143344e+02,0.000000000000000000e+00,3.311963759215393738e-02
7.142857142857143344e+02,3.571428571428571672e+02,-8.952587107353325580e-02
7.142857142857143344e+02,7.142857142857143344e+02,-3.886906800409064555e-01
7.142857142857143344e+02,1.071428571428571558e+03,-2.283493036196682091e+00
7.142857142857143344e+02,1.428571428571428669e+03,-3.842284788117776184e+00
7.142857142857143344e+02,1.785714285714285779e+03,-4.749015743333691475e+00
7.142857142857143344e+02,2.142857142857143117e+03,-5.442073827125534002e+00
7.142857142857143344e+02,2.500000000000000000e+03,-5.511606319669638765e+00
7.142857142857143344e+02,2.857142857142857338e+03,-5.273051915408029977e+00
